brightness_1,brightness_2,gaussian_width_1,gaussian_width_2,gaussian_width_unc_1,gaussian_width_unc_2,int_wv_1,int_wv_2,obs_line_center_1,obs_line_center_2,obs_line_center_unc_1,obs_line_center_unc_2
3.374666521964601e-15,1.736420101778763e-15,0.24499395854308778,0.24375970145004142,0.003030600352021495,0.004492073815302547,1305.883,1310.194,1304.8938473779028,1306.0057107385958,0.0026249559062133682,0.004393562698049609
5.974615511716077e-17,1.7456936093713427e-17,0.24061414889809848,0.19147934561916846,0.028403648602075917,0.05494265442124881,1310.194,1313.249,1310.2470004860188,1313.151743377466,0.028403648460574363,0.054942653745455705
1.7448547536386457e-17,6.505654542930905e-16,0.19141808332727953,0.20298177374928053,0.12557388227794664,0.003903128373423024,1313.249,1316.542,1313.1516706709829,1316.5632376913813,0.12557387995050842,0.0039031283320639333
5.760382915054305e-16,1.3896642023891074e-16,0.2570587122566974,0.12942444811815668,0.023517677716094743,0.021921845468298357,1316.542,1316.618,1316.6109227038883,1316.5228145746005,0.027904749126519968,0.014183607279925282
6.505656574092479e-16,3.080700629517242e-16,0.20298181597676812,0.2086521328209683,0.0037272961204679557,0.008432094841248199,1316.618,1323.515,1316.5632377117183,1323.5479769739625,0.0037272960839724307,0.008432094777510047
6.533105580597675e-09,-5.554467815085777e-09,502.3104778782282,427.0571213768389,inf,inf,1323.515,1323.522,134048.6789746252,-131365.88462897393,inf,inf
3.080744800012818e-16,7.43746882441175e-17,-0.2086541272744813,0.18479928519637873,0.006864971866365808,0.020997534599212945,1323.522,1326.643,1323.5479778751167,1326.6853846774336,0.006864971990699345,0.020997534163074715
7.417551420989768e-17,5.883679184115849e-16,0.1844695664575721,0.25412548103975696,0.2202404287666424,0.06204845487401352,1326.643,1381.552,1326.685449144218,1381.481486071114,0.22024042520604362,0.062048454115970715
5.883805185091628e-16,3.5079349894189785e-16,0.25412910947254974,0.2592285988264909,0.006821661487565033,0.012024843261592593,1381.552,1385.51,1381.4814882806984,1385.5179049785183,0.0068216614619486205,0.01202484311260184
3.507982185729268e-16,2.0372421417865806e-15,0.2592309238472055,0.32416742538643095,0.032120687273788855,0.009672097369487782,1385.51,1388.435,1385.517904007767,1388.4698928333032,0.03212068690938061,0.009672092692250289
1.6610137485116629e-15,1.0566366562223599e-15,0.28581610364753235,0.3573873794369083,0.008591133091057844,0.02436859480265916,1388.435,1389.154,1388.4450258687234,1389.6716989709957,0.008218690871462467,0.022350371315813224
2.069231323757867e-15,6.036592019736378e-16,0.3274108864170892,-0.26396333559526225,0.01110938298579643,0.02154829196228544,1389.154,1392.588,1388.4699635242448,1392.5958527374235,0.01084261746966733,0.021548292089030183
6.036575252119878e-16,1.5331085281648349e-15,0.263962846812525,0.272672612976704,0.010562776074472653,0.0045107114531461965,1392.588,1396.112,1392.5958525998435,1396.1292671965446,0.010562775844374499,0.004510711336945493
1.5331131669414253e-15,4.3124404910609585e-16,0.27267316172015604,0.23062223990725558,0.003958429851745689,0.009258765097107258,1396.112,1401.514,1396.129266984673,1401.5185148260493,0.003958429804205919,0.009258764976796187
4.3123653645990974e-16,2.2528055246009886e-16,0.23061956140791018,0.19876841398196374,0.011491857146136018,0.0151692946673517,1401.514,1409.337,1401.5185148784838,1409.3250287320739,0.011491857012692182,0.0151692944821371
2.253175018658465e-16,1.14040165901397e-16,0.19879014732851377,0.24457127789543745,0.007951756842221432,0.026374733100320777,1409.337,1412.873,1409.325042796777,1412.9470235970234,0.007951756689101122,0.02637473274361801
1.1405869641998701e-16,1.9878286156705295e-15,0.24459777563000587,0.20790080461399604,0.05756958530108617,0.0022012158915829605,1412.873,1425.03,1412.947012406199,1425.0736464271845,0.057569584610942325,0.0022012158691402588
3.7103035231456214e-16,2.130721667878751e-15,0.11557540959349574,0.3034045742115324,0.008702268698011209,0.01658738440837225,1425.03,1425.219,1425.0612182781167,1425.0953407670359,0.0050341965582025834,0.01035905112073644
3.7090244532598693e-16,2.1306786737321605e-15,0.11556450824086857,0.30337142090669894,0.004653304600296596,0.008867434912556815,1425.219,1433.28,1425.0612160009457,1425.095338164107,0.002691854311971754,0.005537867416813618
1.0432550154197957e-16,-1.0432550154451478e-16,1.0000894090937629,1.0000894091179564,3.217432761609373e-07,3.2171306862245005e-07,1433.28,1433.311,1433.2966255172794,1433.2966255172826,2.3809579262995455e-07,2.380905005664022e-07
1.3784799816930122e-32,8.962093206892451e-34,1.000000001422073,0.9999999993303379,1.9835404811850006e-10,4.0176602212484677e-10,1433.311,1436.968,1433.3110000006516,1436.9680000009462,1.513358728608949e-10,3.0690339177289946e-10
5.003796603426636e-19,1.010371873790735e-19,0.0075121239814220885,0.0026954283713808654,1.9958809078231235e-05,0.11889857508488698,1436.968,1448.229,1441.2991251375906,1441.369857796459,2.0435574287737197e-05,0.03831557970057162
