Wavelength,Oscillator Strength (gA),Species,Width,Amplitude,Blended? ,Lifetime,Notes
1296.174,4.38E+08,S I,0.2,25,Yes / w Self,1.46E+08,"Same peak, descending portion"
1302.168,1.02E+09,O I,0.33,1200,Yes / w S I,3.41E+08,Very smooth singular high peak
1302.337,6.00E+08,S I,0.2,500,Yes / w O I,1.20E+08,"Same peak, descending portion"
1302.863,4.59E+08,S I,0.2,50,Yes / w O I,1.53E+08,End portion of same peak
1303.111,4.83E+08,S I,,,Yes / w O I,4.83E+08,Flat portion of end peak
1303.4295,8.85E+07,S I,,,Yes / w O I,2.95E+07,Flat portion between two large peaks
1304.858,6.09E+08,O I,0.3,1200,Yes / w S I,2.03E+08,Very smooth singular high peak
1305.883,5.88E+08,S I,,,Yes / w O I,1.96E+08,Ascending portion of Gaussian
1306.029,2.03E+08,O I,,,Yes / w S I,6.76E+07,"Regular Gaussian peak, high amplitude"
1310.194,5.10E+07,S I,0.26,8,No,1.70E+07,"Low flux, many Gaussians"
1313.249,1.66E+07,S I,,,No,5.54E+06,"Low flux, many Gaussians"
1316.542,5.52E+08,S I,0.2,90,Yes / w Self,7.89E+07,"Two peaks, high flux"
1316.618,1.05E+08,S I,0.2,20,Yes / w Self,2.10E+07,"Same peaks, dip between two peaks"
1323.515,3.02E+08,S I,0.2,45,Yes / w Self,6.04E+07,Peak with bump after line
1323.522,1.02E+08,S I,0.2,20,Yes / w Self,3.40E+07,Same location
1326.643,1.33E+08,S I,0.2,10,No,4.44E+07,"Low flux, many Gaussians, looks Lorentzian"
1335.726,3.48E+08,Cl I,,,Yes w/ C II*,1.74E+08,Peak next to other peaks
1347.24,1.68E+09,Cl I,0.26,30,No,4.19E+08,Dip between two peaks
1351.657,6.46E+08,Cl I,0.2,15,No,3.23E+08,"Low flux, many Gaussians"
1355.598,2.10E+04,O I,0.2,1100,No,4.20E+03,"High flux, smooth Gaussian"
1358.512,6.80E+03,O I,0.25,300,No,1.36E+03,"High amplitude, plateud Gaussian peak"
1363.447,3.00E+08,Cl I,0.3,25,No,7.50E+07,"Many Gaussians, low flux"
1379.528,4.40E+07,Cl I,0.3,30,No,1.10E+07,Descending part of Gaussian
1381.552,1.63E+06,S I,0.3,65,No,5.42E+05,Descending part of Gaussian
1385.51,1.25E+06,S I,0.26,40,No,1.25E+06,Peak next to other peak
1388.435,2.77E+06,S I,0.3,160,No,5.54E+05,Plateud Gaussian peak
1389.154,5.07E+05,S I,,,Yes w/ Cl ,1.69e+05 ,Dip between two peaks
1389.693,1.40E+06,Cl I,,,Yes w/ S l ,2.30E+05,Curvy peak with shallow dip
1389.957,3.40E+06,Cl I,,,Yes w/ Self,1.70E+06,"Same peak, descending portion"
1392.588,1.55E+06,S I,0.3,60,No,5.16E+05,"Descending part of Gaussian, not entirely Gaussian shaped"
1396.112,2.88E+06,S I,0.3,160,No,5.75E+05,Plateud Gaussian peak
1401.514,2.24E+08,S I,0.25,60,No,7.48e+07 ,Peak with bump after line
1404.808,1.15E+05,S IV,,,Yes w/ Self,5.73E+04,"Low flux, many Gaussians"
1406.009,2.72E+05,S IV,0.4,40,Yes w/ Self,4.54e+04 ,Dip between two peaks
1409.337,1.30E+08,S I,0.2,50,No,4.35E+07,Just right of the highest point of peak
1412.873,4.26E+07,S I,0.2,20,No,1.42E+07,Dip between two peaks
1416.887,6.56E+04,S IV,0.4,30,No,1.64e+04 ,Ascending part of large peak
1423.845,8.90E+04,S IV,,,Yes w/ S I,4.45E+04,Low flux Gaussian
1425.03,2.65E+09,S I,0.25,350,Yes w/ Self,3.79E+08,"High flux, smooth Gaussian"
1425.219,3.15E+07,S I,,,Yes w/ Self,1.05E+07,Descending part of Gaussian
1433.28,1.40E+09,S I,,,Yes w/ Self,2.81E+08,Ascending part of large peak
1433.311,4.68E+08,S I,,,Yes w/ Self,1.56E+08,Top of same peak
1436.968,6.21E+08,S I,,,No,2.07E+08,Plateud Gaussian peak
1448.229,1.50E+09,S I,,,No,5.00E+08,Plateud Gaussian peak
