Wavelength,Species,Brightness,Blended? ,Lifetime,Notes,,,Lower State,Upper State
1277.212,S I,,Yes / w Self,1.84E+07,,,,,
1280.099,S I,,No,1.35E+07,A/B Detector Edge effects near 1288-1290,,,,
1295.652,S I,,Yes / w Self,3.46E+08,,,,,
1296.174,S I,,Yes / w Self,1.46E+08,,,,,
1302.168,O I,,Yes / w S I,3.41E+08,Geocoronal contimamination (Time dep),,,,
1302.337,S I,,Yes / w O I,1.20E+08,,,,,
1302.863,S I,,Yes / w O I,1.53E+08,,,,,
1303.111,S I,,Yes / w O I,4.83E+08,,,,,
1303.4295,S I,,Yes / w O I,2.95E+07,,,,,
1304.858,O I,,Yes / w S I,2.03E+08,Geocoronal contimamination (Time dep),,,,
1305.883,S I,,Yes / w O I,1.96E+08,,,,,
1306.029,O I,,Yes / w S I,6.76E+07,Geocoronal contimamination (Time dep),,,,
1310.194,S I,,No,1.70E+07,,,,,
1313.249,S I,,No,5.54E+06,,,,,
1316.542,S I,,Yes / w Self,7.89E+07,,,,,
1316.618,S I,,Yes / w Self,2.10E+07,,,,,
1323.515,S I,,Yes / w Self,6.04E+07,A/B detector edge effect near 1321,,,,
1323.522,S I,,Yes / w Self,3.40E+07,,,,,
1326.643,S I,,No,4.44E+07,,,,,
1335.726,Cl I,,Yes w/ C II*,1.74E+08,Solar C II lines at 1334.532 & 1335.708 useful for abedo (eclipse isolates Cl),,,,
1347.240,Cl I,,No,4.19E+08,"Optically thick, self absorbed",,,,
1351.657,Cl I,,No,3.23E+08,Solar Cl is also bright,,,,
1355.598,O I,,No,4.20E+03,,,,,
1358.512,O I,,No,1.36E+03,,,,,
1363.447,Cl I,,No,7.50E+07,,,,,
1379.528,Cl I,,No,1.10E+07,,,,,
1381.552,S I,,No,5.42E+05,,,,,
1385.510,S I,,No,1.25E+06,,,,,
1388.435,S I,,No,5.54E+05,,,,,
1389.154,S I,,Yes w/ Cl ,1.69e+05 ,,,,,
1389.693,Cl I,,Yes w/ S l ,2.30E+05,,,,,
1389.957,Cl I,,Yes w/ Self,1.70E+06,,,,,
1392.588,S I,,No,5.16E+05,Solar Si IV at 1393.5 useful for albedo,,,,
1396.112,S I,,No,5.75E+05,,,,,
1401.514,S I,,No,7.48e+07 ,Solar Si IV at 1402.6 useful for albedo,,,,
1404.808,S IV,,Yes w/ Self,5.73E+04,,,,,
1406.009,S IV,,Yes w/ Self,4.54e+04 ,,,,,
1409.337,S I,,No,4.35E+07,,,,,
1412.873,S I,,No,1.42E+07,,,,,
1416.887,S IV,,No,1.64e+04 ,,,,,
1423.845,S IV,,Yes w/ S I,4.45E+04,,,,,
1425.030,S I,,Yes w/ Self,3.79E+08,S IV contributes negligibly ,,,,
1425.219,S I,,Yes w/ Self,1.05E+07,,,,,
1433.28,S I,,Yes w/ Self,2.81E+08,,,,,
1433.311,S I,,Yes w/ Self,1.56E+08,,,,,
1436.968,S I,,No,2.07E+08,,,,,
1448.229,S I,,No,5.00E+08,,,,,
